,Property Title,Location,Rent Price,Deposit Price,Built-up Area,Image URL,Property Type,Furnishing,Preferred Tenants,Availability,Latitude,Longitude
19,1 BHK Flat  In Sanket Residency for Rent  In Patil Nagar,"Near Shivsena Party Office, Patil Nagar","₹ 13,500No Extra Maintenance","₹20,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5801993,73.7643151
20,3 BHK Flat  In Nagras Road Aundh for Rent  In Nagras Road,nagras road,"₹ 40,000No Extra Maintenance","₹1,20,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5404042,73.8851792
21,1 BHK Flat  In Trimbak Hills Apartment Condominium for Rent  In Bavdhan,"1-1, Shri Krishna Nagar, Sagar Co-Operative Housing Society, Bavdhan, Pune, Maharashtra 411021, India","₹ 14,000No Extra Maintenance","₹35,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5164341,73.7817975
22,3 BHK Apartment  In Kiran Shubharambh for Rent  In Baner,"Kiran ShubharambhÂ  HQ8J+3QG, Baner, Pune, Maharashtra 411045","₹ 36,500No Extra Maintenance","₹1,20,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
23,3 BHK Apartment  In Mantri Lavendula for Rent  In Chandani Chowk,"Mantri LavendulaÂ  Chandani Chowk, Pune, Maharashtra, INDIA.","₹ 3,850No Extra Maintenance","₹10,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
24,1 BHK Flat  In Dsk Vidyanagari for Rent  In Baner,"Behind Pashankar Auto, Pashan Sus Road, Baner, Pune-411021, Maharashtra, INDIA.","₹ 20,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
25,1 RK Flat  In  Bharati Niwas Housing Society for Rent  In Erandwane,"Prabhat Road, Near Income Tax Building","₹ 23,000 +₹ 500Maintenance","₹50,000",Rent (Negotiable),https://images.nobroker.in/images/ff80818163314bec0163342309d65386/ff80818163314bec0163342309d65386_85065_438064_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.467818,73.9495184
26,3 BHK Flat  In Laxmi Narayan Nagar  for Rent  In Erandwane,patwardhan baug,"₹ 40,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),https://images.nobroker.in/images/8a9fb1838bea88a9018beadd0d7112b0/8a9fb1838bea88a9018beadd0d7112b0_33397_182354_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4975512,73.8324217
27,1 BHK Flat  In Indira Chs  for Rent  In Erandwane,Karve Rd near SNDT Women,"₹ 19,000No Extra Maintenance","₹60,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.502309,73.8153637
28,"1 BHK Flat  In Swaroop Apartments, Nal Stop, Erandawane for Rent  In Nalstop Chowk",Nalstop.Chowk,"₹ 27,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
