Apartment_Name,Apartment_Location,Apartment_Rent,Apartment_Deposit,Apartment_Negotiable,Apartment_Image_URL,Apartment_Latitude,Apartment_Longitude,Cluster,Score
3 BHK Apartment  In Maitreya Apartment  for Rent  In Baner,"Maitreya Apartment Â  Prathamesh Park Rd, Prathamesh Park, Baner, Pune","₹ 70,000No Extra Maintenance","₹2,50,000",Rent (Negotiable),Image URL not found,18.5620094,73.8042613,1,0.14528641287069563
2 BHK Flat  In Vighnaharta Complex for Rent  In Kothrud,"Near, Flat num 207, Plot num 34, Vighnaharta Co-operating society, Mhatre Bridge, corner, Erandwana Gaothan, Erandwane, Pune, Maharashtra 411004","₹ 13,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,18.4958923,73.8173819,1,0.14516140977738615
3 BHK Flat  In Rachana Myworld Apartments for Rent  In Baner,"Rachana Myworld Apartments, Balewadi High St, Baner, Pune, Maharashtra 411045, India","₹ 55,000No Extra Maintenance","₹2,00,000",Rent (Non-Negotiable),Image URL not found,18.5531713,73.7947985,1,0.14345609328811798
1 BHK Flat  In Apartment for Rent  In  Sadashiv Peth,"Lal Bahadur Shastri Road Tilak chowk, Near  Alka Talkies","₹ 20,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,18.5228434,73.8502636,1,0.1430655904462305
3 BHK Flat  In Laxmi Narayan Nagar  for Rent  In Erandwane,patwardhan baug,"₹ 40,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),https://images.nobroker.in/images/8a9fb1838bea88a9018beadd0d7112b0/8a9fb1838bea88a9018beadd0d7112b0_33397_182354_medium.jpg,18.4975512,73.8324217,1,0.1429735155802385
1 BHK Flat  In Indira Chs  for Rent  In Erandwane,Karve Rd near SNDT Women,"₹ 19,000No Extra Maintenance","₹60,000",Rent (Negotiable),Image URL not found,18.502309,73.8153637,1,0.1410289472408209
1 BHK House  for Rent  In Dattawadi Mhasoba Chowk,"Independent House, Dattawadi","₹ 13,000No Extra Maintenance","₹30,000",Rent (Negotiable),Image URL not found,18.6330784,73.8416228,1,0.1404615740400322
1 RK House  for Rent  In Suratwala Housing Pvt. Ltd.,"Independent House, front of suratwala housing business lmt","₹ 15,000No Extra Maintenance","₹25,000",Rent (Negotiable),Image URL not found,18.6330784,73.8416228,1,0.1404615740400322
1 BHK House  for Rent  In Aundh,"Independent House, DP road near McDonald's","₹ 18,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,18.5035527,73.7969694,1,0.1385601457840666
1 BHK Flat  In Desai Niwas for Rent  In Dattavadi,"Bank Of India Colony, Panmala ,Near Chandani Mhasoba Mandir Dattawadi","₹ 16,000No Extra Maintenance","₹30,000",Rent (Negotiable),Image URL not found,18.5146312,73.8421219,1,0.1385289171281853
"3 BHK Flat  In Shiv Residency for Rent  In Deccan Gymkhana,","Prabhat Rd,,near  Hotel Laxman","₹ 70,000No Extra Maintenance","₹7,00,000",Rent (Negotiable),Image URL not found,18.5144718,73.8332562,1,0.1368053204627505
2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,18.4642771,73.8198096,1,0.1337834891588821
