,Apartment_Name,Apartment_Location,Apartment_Rent,Apartment_Deposit,Apartment_Negotiable,Apartment_Image_URL,Apartment_Latitude,Apartment_Longitude,American restaurant,Arcade,Art gallery,Arts and entertainment,Asian restaurant,Bakery,Bar,Bbq joint,Beer bar,Beer store,Bicycle store,Bistro,Bookstore,Bowling alley,Brazilian restaurant,Breakfast spot,Brewery,Burger joint,Business and professional services,"Cafe, coffee, and tea house",Café,Candy store,Cantonese restaurant,Capitol building,Car dealership,Chinese restaurant,Clothing store,Coffee shop,College and university,Comfort food restaurant,Community center,Concert hall,Construction,Convenience store,Cultural center,Cupcake shop,Deli,Department store,Dessert shop,Dhaba,Diner,Dining and drinking,Doctor's office,Donut shop,Drugstore,Education,Electronics store,Elementary school,Falafel restaurant,Farm,Farmers market,Fast food restaurant,Fish and chips shop,Flea market,Food court,Food truck,French restaurant,Fried chicken joint,Furniture and home store,Garden,Gastropub,Golf course,Government building,Grocery store,Hardware store,Healthcare clinic,High school,Hiking trail,Hindu temple,History museum,Hookah bar,Hospital,Hotel,Hotel bar,Housing development,Ice cream parlor,Indian restaurant,Italian restaurant,Jewelry store,Juice bar,Korean restaurant,Lake,Lounge,Maharashtrian restaurant,Malay restaurant,Martial arts dojo,Mattress store,Medical center,Men's store,Mobile phone store,Motorcycle dealership,Mountain,Movie theater,Multicuisine indian restaurant,Music venue,Night club,North indian restaurant,Office building,Office supply store,Other great outdoors,Pizzeria,Post office,Pub,Residential building,Restaurant,Retail,Rubber supplier,Sandwich spot,Scenic lookout,Seafood restaurant,Shopping mall,Snack place,Soccer field,South indian restaurant,Southern food restaurant,Spiritual center,Stationery store,Tea room,Telecommunication service,Temple,Theater,Tobacco store,Trade school,Water park,Wine store,Women's store,Zoo
10,3 BHK Flat  In Harmony Society for Rent  In Aundh,"New DP Road, Near Nandan Festiva","₹ 41,000No Extra Maintenance","₹1,50,000",Rent (Negotiable),Image URL not found,18.594686,73.769122,5,0,0,0,0,10,5,0,5,0,0,5,0,0,0,10,5,5,0,5,0,0,5,0,5,20,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,10,40,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,5,5,0,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0
11,3 BHK Flat  In Nagras Road Aundh for Rent  In Nagras Road,nagras road,"₹ 40,000No Extra Maintenance","₹1,20,000",Rent (Negotiable),Image URL not found,18.5404042,73.8851792,0,0,0,5,5,25,5,0,0,0,0,0,0,5,0,10,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,20,15,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,15,0,15,10,0,0,0,0,5,0,5,5,5,0,0,10,0,0,0,0,0,0,0,0,0
12,3 BHK Flat  In Rachana Myworld Apartments for Rent  In Baner,"Rachana Myworld Apartments, Balewadi High St, Baner, Pune, Maharashtra 411045, India","₹ 55,000No Extra Maintenance","₹2,00,000",Rent (Non-Negotiable),Image URL not found,18.5531713,73.7947985,0,0,0,0,5,20,10,5,5,0,0,5,5,0,0,5,0,0,0,0,10,0,0,0,0,20,0,15,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,25,5,0,5,0,0,5,0,5,0,0,0,0,0,0,0,10,0,0,0,0,5,0,5,5,0,0,0,0,5,0,0,0,0,0,5,0,5,0,5,0,5,0,0,0,0,5,0,0,5,0
13,1 BHK House  for Rent  In Aundh,"Independent House, DP road near McDonald's","₹ 18,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,18.5035527,73.7969694,0,0,0,0,5,20,0,5,0,0,0,5,0,0,0,0,0,5,0,0,25,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,10,0,10,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,35,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,5,5,0,0,0,10,10,0,5,0,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
14,2 BHK Apartment  In Swami Nakshatra Green Aparajita Hsg Society for Rent  In Bavdhan,"Swami Nakshatra Green Aparajita HSG SocietyÂ  Paud Rd, Bavdhan, Pune, Maharashtra","₹ 23,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,18.5082554,73.8222527,0,0,5,0,5,20,5,5,0,0,0,5,0,0,0,0,0,5,0,0,15,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,15,35,5,0,5,0,0,5,0,0,0,0,5,0,0,0,5,5,0,0,5,0,0,0,5,5,0,0,0,20,5,0,0,0,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
15,3 BHK Flat  In Laxmi Narayan Nagar  for Rent  In Erandwane,patwardhan baug,"₹ 40,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),https://images.nobroker.in/images/8a9fb1838bea88a9018beadd0d7112b0/8a9fb1838bea88a9018beadd0d7112b0_33397_182354_medium.jpg,18.4975512,73.8324217,0,0,0,0,5,15,10,5,0,0,0,5,0,0,0,0,0,5,0,0,20,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,20,25,5,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,5,0,0,0,30,5,0,5,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
16,1 BHK Flat  In Indira Chs  for Rent  In Erandwane,Karve Rd near SNDT Women,"₹ 19,000No Extra Maintenance","₹60,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f92827a3d1397017a3d1e9b330475/8a9f92827a3d1397017a3d1e9b330475_61853_374504_medium.jpg,18.502309,73.8153637,0,0,0,0,5,25,5,5,0,0,0,5,0,0,0,0,0,5,0,0,15,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,15,45,5,0,5,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,5,5,0,0,0,10,5,0,0,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0
17,"3 BHK Flat  In Shiv Residency for Rent  In Deccan Gymkhana,","Prabhat Rd,,near  Hotel Laxman","₹ 70,000No Extra Maintenance","₹7,00,000",Rent (Negotiable),Image URL not found,18.5144718,73.8332562,0,0,0,0,5,20,15,5,0,0,0,5,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,5,5,0,5,0,0,0,10,35,5,0,5,0,0,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,10,0,0,0,15,5,0,0,0,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
18,1 BHK Flat  In Shri Krishna Nagar Co Operartive Housing Society for Rent  In Erandwane,"Khilare patil road,  Erandawane Gauthan Near Mantri Hospital","₹ 17,000 +₹ 500Maintenance","₹50,000",Rent (Non-Negotiable),Image URL not found,18.6205191,73.9161416,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,10,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,30,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0
19,2 BHK Flat  In Sanjeevani Apartments for Rent  In Deccan Gymkhana,"Sanjeevani Apartments, Lane Number 11, , Erandwane, Pune, Maharashtra 411004, India","₹ 1,00,000No Extra Maintenance","₹1,95,000",Rent (Negotiable),Image URL not found,18.5759584,73.8930605,0,0,0,5,5,10,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,10,0,20,0,0,0,0,0,5,0,0,5,5,0,0,10,0,0,0,5,0,0,0,0,0
